"random MD","Albumin:HES","Albumin:NS","BRS:NS","HES:NS","HES:RL","HSD:NS","HS:RL","NS:Plasma"
"Mixed estimates",,,,,,,,
"Albumin:HES",52.45,23.775,0,23.775,0,0,0,0
"Albumin:NS",18.8,62.4,0,18.8,0,0,0,0
"BRS:NS",0,0,100,0,0,0,0,0
"HES:NS",7.425,7.425,0,85.15,0,0,0,0
"HES:RL",0,0,0,0,100,0,0,0
"HS:RL",0,0,0,0,0,0,100,0
"HSD:NS",0,0,0,0,0,100,0,0
"NS:Plasma",0,0,0,0,0,0,0,100
"Indirect estimates",,,,,,,,
"Albumin:BRS",12.5333,31.2,43.7333,12.5333,0,0,0,0
"Albumin:HS",17.4833,11.8875,0,11.8875,29.3708,0,29.3708,0
"Albumin:HSD",12.5333,31.2,0,12.5333,0,43.7333,0,0
"Albumin:Plasma",12.5333,31.2,0,12.5333,0,0,0,43.7333
"Albumin:RL",26.225,15.85,0,15.85,42.075,0,0,0
"BRS:HES",4.95,4.95,47.525,42.575,0,0,0,0
"BRS:HS",2.97,2.97,24.2575,21.2875,24.2575,0,24.2575,0
"BRS:HSD",0,0,50,0,0,50,0,0
"BRS:Plasma",0,0,50,0,0,0,0,50
"BRS:RL",3.7125,3.7125,32.0958,28.3833,32.0958,0,0,0
"HES:HS",0,0,0,0,50,0,50,0
"HES:HSD",4.95,4.95,0,42.575,0,47.525,0,0
"HES:Plasma",4.95,4.95,0,42.575,0,0,0,47.525
"HS:HSD",2.97,2.97,0,21.2875,24.2575,24.2575,24.2575,0
"HS:NS",3.7125,3.7125,0,28.3833,32.0958,0,32.0958,0
"HS:Plasma",2.97,2.97,0,21.2875,24.2575,0,24.2575,24.2575
"HSD:Plasma",0,0,0,0,0,50,0,50
"HSD:RL",3.7125,3.7125,0,28.3833,32.0958,32.0958,0,0
"NS:RL",4.95,4.95,0,42.575,47.525,0,0,0
"Plasma:RL",3.7125,3.7125,0,28.3833,32.0958,0,0,32.0958