"random MD","Combination:Hypertonic_Crystalloid","Combination:Isotonic_Crystalloid","Hypertonic_Crystalloid:Isotonic_Crystalloid","Isotonic_Crystalloid:Natural_Colloid","Isotonic_Crystalloid:Synthetic_Colloid","Natural_Colloid:Synthetic_Colloid"
"Mixed estimates",,,,,,
"Combination:Hypertonic_Crystalloid",90.11,4.945,4.945,0,0,0
"Combination:Isotonic_Crystalloid",1.96,96.08,1.96,0,0,0
"Hypertonic_Crystalloid:Isotonic_Crystalloid",43.095,43.095,13.81,0,0,0
"Isotonic_Crystalloid:Natural_Colloid",0,0,0,82.18,8.91,8.91
"Isotonic_Crystalloid:Synthetic_Colloid",0,0,0,11.44,77.12,11.44
"Natural_Colloid:Synthetic_Colloid",0,0,0,29.65,29.65,40.7
"Indirect estimates",,,,,,
"Combination:Natural_Colloid",0.98,45.7233,0.98,41.09,5.6133,5.6133
"Combination:Synthetic_Colloid",0.98,44.88,0.98,7.3,38.56,7.3
"Hypertonic_Crystalloid:Natural_Colloid",27.245,27.245,6.905,29.695,4.455,4.455
"Hypertonic_Crystalloid:Synthetic_Colloid",26.8233,26.8233,6.905,5.72,28.0083,5.72