"random MD","BRS:NS","BRS:RL","HH:HS","HSD:NS","HSD:plasma_lyte_A","HSD:RL","HS:NS","HS:RL","NS:Plasma","NS:RL"
"Mixed estimates",,,,,,,,,,
"BRS:NS",59.72,16.5467,0,4.7467,0,4.7467,2.44,2.44,0,9.36
"BRS:RL",17.6833,56.95,0,5.0767,0,5.0767,2.6067,2.6067,0,10
"HH:HS",0,0,100,0,0,0,0,0,0,0
"HS:NS",2.0067,2.0067,0,3.55,0,3.55,69.35,12.5467,0,6.99
"HS:RL",3.55,3.55,0,6.2767,0,6.2767,22.1967,45.78,0,12.37
"HSD:NS",3.3,3.3,0,58.1,0,17.8017,2.9967,2.9967,0,11.505
"HSD:RL",2.2533,2.2533,0,12.155,0,71.38,2.0467,2.0467,0,7.855
"HSD:plasma_lyte_A",0,0,0,0,100,0,0,0,0,0
"NS:Plasma",0,0,0,0,0,0,0,0,100,0
"NS:RL",8.33,8.33,0,14.74,0,14.74,7.57,7.57,0,38.72
"Indirect estimates",,,,,,,,,,
"BRS:HH",17.9,14.5558,32.4558,0.72,0,0.72,19.8025,12.6533,0,1.1825
"BRS:HS",26.85,21.4567,0,0.9,0,0.9,29.3267,18.98,0,1.5767
"BRS:HSD",23.775,25.09,0,21.925,0,26.94,0.42,0.42,0,1.43
"BRS:Plasma",29.86,11.63,0,3.56,0,3.56,1.83,1.83,41.49,6.24
"BRS:plasma_lyte_A",16.0252,16.7267,0,14.6167,32.7518,18.1352,0.336,0.336,0,1.0725
"HH:HSD",0.776,0.776,32.061,15.8167,0,16.2443,18.8477,13.2133,0,2.255
"HH:NS",1.505,1.505,43.5025,2.6625,0,2.6625,34.675,8.8275,0,4.66
"HH:Plasma",1.204,1.204,29.9457,2.13,0,2.13,23.1167,6.829,29.9457,3.495
"HH:RL",2.6625,2.6625,38.5067,4.7075,0,4.7075,15.6167,22.89,0,8.2467
"HH:plasma_lyte_A",0.6467,0.6467,24.2232,11.8625,24.2232,12.3607,14.3132,9.91,0,1.804
"HS:HSD",0.97,0.97,0,23.725,0,23.7967,27.7017,19.82,0,3.0067
"HS:Plasma",1.505,1.505,0,2.6625,0,2.6625,34.675,8.8275,43.5025,4.66
"HS:plasma_lyte_A",0.776,0.776,0,15.8167,32.061,16.2443,18.8477,13.2133,0,2.255
"HSD:Plasma",2.475,2.475,0,29.05,0,12.3925,2.2475,2.2475,41.4425,7.67
"NS:plasma_lyte_A",2.475,2.475,0,29.05,41.4425,12.3925,2.2475,2.2475,0,7.67
"Plasma:RL",5.5533,5.5533,0,9.8267,0,9.8267,5.0467,5.0467,39.7867,19.36
"Plasma:plasma_lyte_A",1.98,1.98,0,19.3667,28.8972,9.5305,1.798,1.798,28.8972,5.7525
"plasma_lyte_A:RL",1.69,1.69,0,8.4617,44.1517,35.69,1.535,1.535,0,5.2367